5,81,Computer&Accessories,อุปกรณ์คอมพิวเตอร์
5,82,Electronic Device,อุปกรณ์สำนักงานอิเล็กทรอนิกส์
5,83,Presentation Equipment,อุปกรณ์พรีเซนต์
5,84,Snack& Beverage,อาหารว่างและเครื่องดื่ม
5,85,Medicine & First Aid,ยาสามัญประจำบ้านและอุปกรณ์ปฐมพยาบาล
5,86,Canteen Equipment,อุปกรณ์ประจำโรงอาหาร
5,87,Plastic Bag,ถุงพลาสติก
5,88,Office Furniture,เฟอร์นิเจอร์สำนักงาน
5,89,Factory Equipment,อุปกรณ์และวัสดุที่ใช้ในโรงงาน
5,90,Power Tool,อุปกรณ์เครื่องมือช่าง
5,91,Warewashing,อุปกรณ์ล้างภาชนะ
5,92,Cleanning Equipment,อุปกรณ์ทำความสะอาด
6,93,Ingredient / Material for Bakery,วัตถุดิบสำหรับทำเบเกอรี่
6,94,Bakery Equipments,อุปกรณ์เบเกอรี่
6,95,Chocolate Tools ,อุปกรณ์ทำช็อกโกแลต
6,96,Gelato Accessories ,อุปกรณ์เจลาโต้
6,97,Bakeware ,แม่พิมพ์ทำเบเกอรี่
6,98,Colorants ,สีย้อม
6,99,Cake Decorating ,อุปกรณ์ตกแต่งเค้ก 
6,100,Cookware ,เครื่องครัว
6,101,Machine  ,เครื่องใช้ไฟฟ้า
6,102,Bakery Freezer / Chiller,ตู้แช่สำหรับร้านเบเกอรี่
6,103,Packaging ,บรรจุภัณฑ์
6,104,Furniture / Accessories,เฟอร์นิเจอร์และของตกแต่งร้าน
6,105,Other Equipment,อุปกรณ์เบ็ดเตล็ด
6,106,Cash Calculate Equipment,อุปกรณ์สำหรับคิดเงิน
6,107,CCTV Camera,กล้องวงจรปิด
6,108,Warewashing,อุปกรณ์ล้างภาชนะ
6,109,Cleanning Equipment,อุปกรณ์ทำความสะอาด
